ID,NAME,COMPANY,THUMBNAIL,DESCRIPTION,TAGS
19,Organic Tropical Treat Bunny Fruit Snacks,Annies,http://www.annies.com/data/uploads/507dab54dfe7d.jpg,"Organic Tropical Treat Bunny Fruit Snacks are a delicious mix of mango-peach, tropical punch and orange flavored bunnies. Certified organic, these bunny-shaped fruit snacks are made with real fruit juice and packed with 100% Daily Value of Vitamin C.","organic, real fruit juice, vitamin C, vegan, fat free"
20,Organic Berry Patch Fruit Snacks,Annies,http://www.annies.com/data/uploads/507dab883c1d1.jpg,"Organic Berry Patch Bunny Fruit Snacks are a delicious mix of strawberry, cherry and raspberry flavored bunnies. Certified organic, these bunny-shaped fruit snacks are made with real fruit juice and packed with 100% Daily Value of Vitamin C.","organic, real fruit juice, vitamin C, vegan, fat free"
21,Organic Sunny Citrus Fruit Snacks,Annies,http://www.annies.com/data/uploads/507dabb55d91b.jpg,"Sunny Citrus fruit snacks offer a burst of all-natural lemon, lime and orange flavors. Certified organic, these bunny-shaped fruit snacks are made with real fruit juice and packed with 100% Daily Value of Vitamin C.","organic, real fruit juice, vitamin C, vegan, fat free"
22,Organic Summer Strawberry Fruit Snacks,Annies,http://www.annies.com/data/uploads/507dabe18f9ce.jpg,"Summer Strawberry fruit snacks are enlivened with the taste of juicy strawberries. Certified organic, these bunny-shaped fruit snacks are made with real fruit juice and packed with 100% Daily Value of Vitamin C.","organic, real fruit juice, vitamin C, vegan, fat free"
23,Gluten Free Ginger Snap Bunny Cookies,Annies,http://www.annies.com/data/uploads/4dc1a53466926.jpg,"Made with white and brown rice flour and yellow corn flour, these bunny-shaped cookies are a great addition to lunch boxes or after school snacks.  Warm and spicy ginger makes these little bunnies extra delicious.","rice flour, corn flour, no cholesterol, no trans fat"
24,Gluten Free SnickerDoodle Bunny Cookies,Annies,http://www.annies.com/data/uploads/4dc1e47ab0eac.jpg,"Made with white and brown rice flour and yellow corn flour, these bunny-shaped cookies are a great addition to lunch boxes or after school snacks. SnickerDoodle flavor offers the sweet taste of cinnamon and vanilla.","rice flour, corn flour, no cholesterol, no trans fat"
25,Gluten Free Rice Pasta & Cheddar,Annies,http://www.annies.com/data/uploads/504fb76a99e7b.jpg,"From the time of Annies first product, a small but growing group of you who are wheat- and gluten-intolerant have suggested we produce a wheat- and gluten-free macaroni and cheese. It may seem a wheat- and gluten-free product has been a long time in coming! Thank you for your patience and support. Please know it has been especially gratifying for us to create Annies Rice Pasta & Cheddar.","no trans fat, calcium, vitamin b6, vegetarian"
26,Organic Grapes Galore Fruit Snacks,Annies,http://www.annies.com/data/uploads/507daae0a1bd6.jpg,"Organic Grapes Galore Fruit Snacks are enlivened with the taste of juicy grapes. Certified organic, these bunny-shaped fruit snacks are made with real fruit juice and packed with 100% Daily Value of Vitamin C. ","organic, real fruit juice, vitamin C, vegan, fat free"
27,Organic Pink Lemonade Bunny Fruit Snacks,Annies,http://www.annies.com/data/uploads/507dd7ef00a74.jpg,"Organic Pink Lemonades offer a burst of slightly sweet lemon flavor. Certified organic, these bunny-shaped fruit snacks are made with real fruit juice and packed with 100% Daily Value of Vitamin C.","organic, real fruit juice, vitamin C, vegan, fat free"
28,Gluten-Free Rice Shells with Creamy White Cheddar,Annies,http://www.annies.com/data/uploads/504fba4e1e14d.jpg,"Annie created Shells & Cheddar (as we call it here) in her kitchen when she realized there was no all-natural, white cheddar macaroni & cheese on the market. She came up with a totally delicious product that is made with real white cheddar cheese and organic shell shaped pasta. Now it comes in a gluten-free version!","no trans fat, protein, calcium, vitamin b6, vegetarian"
29,Gluten-Free Microwaveable Mac & Cheese,Annies,http://www.annies.com/data/uploads/504fbe495b66d.jpg,Great taste in a convenient gluten-free format! Annie’s new gluten-free Micro Mac is the first and only microwavable mac & cheese item on the market.,"vitamin b6, calcium, vegetarian"
